method_label,lam,alpha_fair,unfairness_level,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FDFL-Scal,5.0,2.0,mild,5,0.09271140951948462,0.03678478422810159,0.08341381075324253,0.03570809360093729,0.8164827115836071,0.2663892003800453,0.1536284423931106,0.017698219146614538,0.012090028625539758,0.031048733514003668,0.17390701830104466,0.04575649006259458,22.953769744799956,2.353258163191262
FPTO,0.0,0.5,high,5,0.0103735440228591,0.0010795890069493443,0.09081750111218886,0.07069256796367866,0.6503064881183725,0.03429821461144793,0.0,0.0,0.0,0.0,0.3647376238109755,0.08708701878650346,0.26136039139992134,0.00937013901236921
FPTO,0.5,0.5,high,5,0.011586271369765842,0.0018127180163753853,0.03982321535163924,0.019690468364613613,0.709746195271286,0.04440177785411656,0.0,0.0,0.0,0.0,0.27073530354110703,0.08638241674033934,0.2582543900001838,0.006508983079464586
FPTO,1.0,0.5,high,5,0.01371826357020114,0.0014216347633892433,0.0431872857985778,0.040480871693417395,0.8543854015859917,0.05888731132108345,0.0,0.0,0.0,0.0,0.18206191573885766,0.08470129431022469,0.2590010783998878,0.009388441874514526
FPTO,5.0,0.5,high,5,0.02229159851945006,0.0033291779443968142,0.08839813035891608,0.07482348608520295,1.3684290162473085,0.1065300135235128,0.0,0.0,0.0,0.0,0.11950238784769443,0.03756284555163285,0.2576686412000527,0.0029022867510819336
FPTO,0.0,0.5,medium,5,0.01120021820432804,0.0007975545746202974,0.10535509582205085,0.051723176047402813,0.6005643092505031,0.03554867717955971,0.0,0.0,0.0,0.0,0.2609808238131906,0.049937004651000004,0.2616726285999903,0.015188144290468608
FPTO,0.5,0.5,medium,5,0.0120250273829176,0.0008144702977197822,0.05275884387352923,0.03378865263287135,0.6354113508722804,0.04233397618401582,0.0,0.0,0.0,0.0,0.19937768997623811,0.0682237463834607,0.263763877800011,0.017479626806940683
FPTO,1.0,0.5,medium,5,0.01461951058929212,0.0015180417956282524,0.049852840029430814,0.04368438758520546,0.7474208931665458,0.03837431939138528,0.0,0.0,0.0,0.0,0.12637319426322086,0.10295102089652276,0.2673889903999225,0.012349587821819035
FPTO,5.0,0.5,medium,5,0.026222010255210045,0.0030079695146489733,0.03267219330300464,0.023946424949601364,1.308361923725025,0.13009647731020016,0.0,0.0,0.0,0.0,0.10967669674369063,0.04811364568196064,0.2600174256000173,0.0069480917752622285
FPTO,0.0,0.5,mild,5,0.0110406472358063,0.000817414280958653,0.07969573620886869,0.05146857986899341,0.5753254659266048,0.03751684067322161,0.0,0.0,0.0,0.0,0.20877724205400172,0.051266146602807997,0.2753712972000358,0.04155569978772812
FPTO,0.5,0.5,mild,5,0.01192079504967936,0.0008666840743156843,0.04282944049198152,0.02185812959232062,0.6160285147179329,0.04229985825805824,0.0,0.0,0.0,0.0,0.17977846404201586,0.05892180217415799,0.25780389020019356,0.002027786692172816
FPTO,1.0,0.5,mild,5,0.014289890602341499,0.0014725920372440358,0.046572950932494354,0.04263006338888909,0.7113640174695902,0.0412473214177086,0.0,0.0,0.0,0.0,0.14124314140045968,0.06198669334459582,0.2582011170000441,0.004648022571659321
FPTO,5.0,0.5,mild,5,0.025069008435243418,0.0034770910226740734,0.044770106748834124,0.017118870200013046,1.2537118605550863,0.11747966762604793,0.0,0.0,0.0,0.0,0.1251715230207856,0.04610361427373533,0.2609975534000114,0.008338614858009798
FPTO,0.0,2.0,high,5,0.08547235642903037,0.014176746378063371,0.09081750111218886,0.07069256796367866,0.6503064881183725,0.03429821461144793,0.0,0.0,0.0,0.0,0.3647376238109755,0.08708701878650346,0.27743943020004735,0.03806128339378814
FPTO,0.5,2.0,high,5,0.09351132253781176,0.020569985162703676,0.03982321535163924,0.019690468364613613,0.709746195271286,0.04440177785411656,0.0,0.0,0.0,0.0,0.27073530354110703,0.08638241674033934,0.3058666257999903,0.06467926883851993
FPTO,1.0,2.0,high,5,0.10582656462544104,0.01547883464666388,0.0431872857985778,0.040480871693417395,0.8543854015859917,0.05888731132108345,0.0,0.0,0.0,0.0,0.18206191573885766,0.08470129431022469,0.2810495908000121,0.05370169554840217
FPTO,5.0,2.0,high,5,0.15591778896979439,0.03365412552277856,0.08839813035891608,0.07482348608520295,1.3684290162473085,0.1065300135235128,0.0,0.0,0.0,0.0,0.11950238784769443,0.03756284555163285,0.27585219779998627,0.043163167716641596
