task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,method_label,alpha_fair,hidden_dim,config_name,lam
medical_resource_allocation,fplg,55,0,0.0,,,,805.8896195197958,31.080747544132805,175.0854732765315,4.616042947999972,140,2.0,1797.5347319998036,11.768586000016512,0,0,81.55977614116198,22.794526733729565,81.30511772436273,137.5556929210733,0.1008912764127962,0.0279512515322324,0.8361865859344527,7.278283694371077,cuda,,0.1369737223496562,,,,0.120472197076453,4.616042947999972,FDFL-Scal,2.0,64,FPLG,0.0
medical_resource_allocation,fplg,55,1,0.5,,,,756.2034499030033,26.02315717301325,129.32659829025175,4.362804213999993,140,2.0,1656.993525999269,11.977987999898687,0,0,38.29117559142443,17.172470900902486,30.652217848909416,93.06493546172764,-0.1852048985701926,-0.3276834292126258,0.3970685378497563,7.608742217160313,cuda,,0.1285287697942879,,,,0.1138905566560935,8.978847161999965,FDFL-Scal,2.0,64,FPLG,0.5
medical_resource_allocation,fplg,55,2,1.0,,,,751.3955954290914,24.981569062928,126.39018796389595,4.099333420999983,140,2.0,1591.3692349997746,11.839681999958884,0,0,23.80412076661332,12.943457565067398,17.690603136362675,138.17878103484034,-0.4876961939677799,-0.5312689349067129,0.459729811568957,7.670585499460137,cuda,,0.1277115986732607,,,,0.1132484571618416,13.078180582999948,FDFL-Scal,2.0,64,FPLG,1.0
medical_resource_allocation,fplg,55,3,5.0,,,,750.9627108377781,32.97860120847489,129.92285741807095,4.304075570000009,140,2.0,1681.6562239995392,12.10947499998838,0,0,139.54992899121154,45.0178801798914,91.53159250521576,649.7084152265711,-0.1034993808470786,-0.3045262639486668,0.1770570315767989,7.776742102673735,cuda,,0.1276380230713621,,,,0.1131905988091044,17.382256152999958,FDFL-Scal,2.0,64,FPLG,5.0
medical_resource_allocation,fpto,11,0,0.0,,,,62.10729603975847,61.72244507873606,286.9934570877133,4.4906773980000025,140,2.0,931.1122130000058,12.604281999983868,0,0,48.395916198656735,20.01349679144256,36.88494924026857,116.58876054619591,0.0,0.0,0.8831705432823638,6.900089799519908,cuda,,0.0601268701643931,,,,0.063973389871152,4.4906773980000025,FPTO,0.5,64,FPTO,0.0
medical_resource_allocation,fpto,11,1,0.5,,,,65.48233936403824,34.36896905427881,206.5792946687905,4.140300578000051,140,2.0,1073.5864590002393,13.313968000034038,0,0,71.18935578418488,23.067724840650595,56.662925309025525,151.9153874756991,0.0,0.0,0.8678653847108802,7.177910256323159,cuda,,0.0633942929101566,,,,0.0676851448056311,8.630977976000054,FPTO,0.5,64,FPTO,0.5
medical_resource_allocation,fpto,11,2,1.0,,,,62.46137370407678,32.81335753625029,191.0319162612178,3.38947219499994,140,2.0,879.4437510005082,12.084668000056809,0,0,81.07294572016171,26.20661986500981,67.55495294018978,183.672091300939,0.0,0.0,0.7305549429840926,7.252444096168547,cuda,,0.0604696572942168,,,,0.0643615799784266,12.020450170999991,FPTO,0.5,64,FPTO,1.0
medical_resource_allocation,fpto,11,3,5.0,,,,54.23799781748653,34.6224533122878,161.68772302929003,3.4405621739999788,140,2.0,878.0864290001773,12.872624999999973,0,0,180.28588666273137,52.49056301233728,144.32002209423337,472.768212974164,0.0,0.0,0.1411098952558769,7.535919968155317,cuda,,0.0525085015882996,,,,0.0554184408792276,15.461012344999972,FPTO,0.5,64,FPTO,5.0
medical_resource_allocation,fpto,22,0,0.0,,,,59.220429602993136,65.7913601319319,296.20650188410434,3.862955198999998,140,2.0,946.0835819996872,12.662977999980283,0,0,46.901103056418826,20.24070183311046,35.98343456541947,113.85844167545092,0.0,0.0,0.8727663505602786,6.952142925676206,cuda,,0.057332057726991,,,,0.06081893226235,3.862955198999998,FPTO,0.5,64,FPTO,0.0
medical_resource_allocation,fpto,22,1,0.5,,,,61.20868527150367,31.08949013433691,205.61044326454845,3.805551923999929,140,2.0,982.9412149997552,12.349572000061926,0,0,70.63671945389066,23.045865473942637,52.46720109828578,154.62853148545963,0.0,0.0,0.8690931454595511,7.236148925919407,cuda,,0.0592569135500109,,,,0.0629894754513947,7.668507122999927,FPTO,0.5,64,FPTO,0.5
